品牌,香水名稱,前調,中調,後調,價格,香調,場合,季節,持香度,圖片
Dior,Sauvage,佛手柑,薰衣草,龍涎香,3500,木質調,日常,秋冬,4.7,dior_sauvage.jpg
CK,CK one,鳳梨,茉莉,麝香,1800,清新調,日常,春夏,4.2,ck_one.jpg
Dior,Miss Dior blooming bouquet ,佛手柑,牡丹、大馬士革玫瑰,白麝香,4200,花香調,約會,春夏,4.6,dior_bouquet.jpg
Dior,J'adore,梨子、甜瓜,茉莉、玫瑰,雪松、麝香,4500,花香調,正式場合,春夏,4.7,dior_jadore.jpg
Dior,Homme Intense,薰衣草,鳶尾花,香根草、雪松,3900,木質調,上班,秋冬,4.6,dior_hommeintense.jpg
Chanel,Bleu de Chanel EDT,檸檬、薄荷,薑、肉豆蔻,雪松、檀香木,4200,木質調,上班,四季,4.8,chanel_bleu.jpg
Chanel,Chance Eau Tendre,葡萄柚、榅桲,茉莉,白麝香,4300,果香調,約會,春夏,4.7,chanel_chance.jpg
Chanel,Coco Mademoiselle,柳橙、佛手柑,玫瑰、茉莉,廣藿香、香草,4800,東方調,正式場合,秋冬,4.8,chanel_coco.jpg
Chanel,Gabrielle,柑橘,茉莉、晚香玉,檀香木、麝香,4600,花香調,日常,春夏,4.5,chanel_gabrielle.jpg
Jo Malone,English Pear & Freesia,洋梨,小蒼蘭,廣藿香,4100,果香調,約會,春夏,4.6,jomalone_englishpear.jpg
Jo Malone,Wood Sage & Sea Salt,秋葵籽,海鹽,鼠尾草,4100,海洋調,日常,春夏,4.6,jomalone_woodsage.jpg
Jo Malone,Nectarine Blossom & Honey,黑醋栗,金合歡,蜂蜜,4100,果香調,日常,春夏,4.5,jomalone_nectarineblossom.jpg
Jo Malone,Wild Bluebell,藍風鈴,茉莉、鈴蘭,白麝香,4100,花香調,約會,春夏,4.4,jomalone_bluebell.jpg
Jo Malone,Mimosa & Cardamom,小豆蔻,含羞草,零陵香豆,4100,東方調,上班,秋冬,4.4,jomalone_mimosa.jpg
YSL,Libre,柑橘,薰衣草、橙花,香草,4500,東方調,聚會,秋冬,4.6,ysl_libre.jpg
YSL,Mon Paris,草莓、覆盆莓,牡丹、茉莉,白麝香、廣藿香,4300,果香調,約會,春夏,4.5,ysl_monparis.jpg
YSL,Y EDP,佛手柑,鼠尾草、天竺葵,雪松、龍涎香,3900,木質調,上班,四季,4.6,ysl_yedp.jpg
YSL,Black Opium,梨子,咖啡、茉莉,香草、廣藿香,4600,東方調,聚會,秋冬,4.8,ysl_blackopium.jpg
YSL,Myslf,佛手柑,橙花,廣藿香,4200,柑橘調,日常,四季,4.5,ysl_myslf.jpg
Marc Jacobs,Decadence,李子、鳶尾花、番紅花,茉莉,琥珀、岩蘭草、紙莎草,3900,東方調,聚會,秋冬,4.5,marc_decadence.jpg
Marc Jacobs,Perfect Intense,水仙、夜來香,杏仁,檀香木,3800,花香調,約會,秋冬,4.4,marc_perfectintense.jpg
Marc Jacobs,Perfect,大黃、水仙,杏仁奶,雪松、喀什米爾,3500,花香調,日常,春夏,4.4,marc_perfect.jpg
Marc Jacobs,Honey,梨子、柑橘,蜂蜜、橙花、金銀花,香草、蜂蜜,3200,果香調,日常,春夏,4.3,marc_honey.jpg
Le Labo,Santal 33,紫羅蘭葉、鳶尾花,小荳蔻,檀香木、雪松,6800,木質調,日常,秋冬,4.8,lelabo_33.jpg
Le Labo,Another 13,梨子,茉莉,麝香、龍涎香,6800,麝香調,上班,四季,4.7,lelabo_13.jpg
Le Labo,Thé Noir 29,佛手柑,紅茶、無花果,雪松、麝香,6800,木質調,正式場合,秋冬,4.6,lelabo_29.jpg
Le Labo,Rose 31,玫瑰、小茴香,雪松、香根草,麝香、沉香木,6800,木質調,約會,秋冬,4.6,lelabo_31.jpg
Byredo,Mojave Ghost,黃葵籽,木蘭花、紫羅蘭,雪松、麝香,7200,木質調,約會,春夏,4.8,byredo_mojaveghost.jpg
Byredo,Bal d'Afrique,佛手柑、檸檬,紫羅蘭、茉莉,雪松、香根草,7200,柑橘調,日常,春夏,4.6,byredo_bal.jpg
Byredo,Gypsy Water,佛手柑、杜松,松針、焚香,檀香木、香草,7200,木質調,日常,秋冬,4.5,byredo_gypsy.jpg
Byredo,Blanche,白玫瑰、粉紅胡椒,紫羅蘭、牡丹,麝香、檀香木,7200,麝香調,上班,春夏,4.7,byredo_blanche.jpg
Diptyque,Philosykos,無花果葉,無花果、椰子,無花果樹、雪松,5800,木質調,日常,春夏,4.7,diptyque_philosykos.jpg
Diptyque,Do Son,橙花、玫瑰、鳶尾花,晚香玉、玫瑰,安息香、麝香,5800,花香調,約會,春夏,4.6,diptyque_doson.jpg
Diptyque,Eau Rose,佛手柑、黑醋栗、荔枝,摩洛哥玫瑰、大馬士革玫瑰,麝香、雪松、蜂蜜,5800,花香調,約會,春夏,4.5,diptyque_rose.jpg
Diptyque,Orphéon,杜松子,茉莉,雪松、零陵香豆,5800,木質調,聚會,秋冬,4.8,diptyque_orpheon.jpg
Maison Margiela,Jazz Club,粉紅胡椒、橙花、檸檬,蘭姆酒、鼠尾草、爪哇香根草,菸草、香草、安息香,6200,東方調,聚會,秋冬,4.8,maison_jazz.jpg
Maison Margiela,Lazy Sunday Morning,梨、鈴蘭,鳶尾花、玫瑰、橙花,白麝香、廣藿香、黃葵,5200,麝香調,日常,春夏,4.7,maison_sunday.jpg
Maison Margiela,Bubble Bath,肥皂香調、佛手柑,玫瑰、茉莉、薰衣草,椰子、白麝香、廣藿香,5200,麝香調,上班,春夏,4.5,maison_bath.jpg
Maison Margiela,By The Fireplace,丁香、粉紅胡椒、橙花,栗子、癒創木、杜松,香草、秘魯香脂、喀什米爾木,6200,木質調,聚會,秋冬,4.8,maison_fireplace.jpg
Zara,Red Temptation,藏紅花、香檸檬,茉莉、琥珀,苔蘚、琥珀、麝香,990,東方調,約會,秋冬,4.4,zara_red.jpg
Zara,Nude Bouquet,櫻桃,牡丹,香草,790,花香調,日常,春夏,4.2,zara_nude.jpg
Zara,Gardenia,佛手柑,梔子花,香草,970,東方調,約會,秋冬,4.3,zara_gardenia.jpg
Zara,Applejuice,蘋果、葡萄柚、香橙,玫瑰、茉莉、紫羅蘭,麝香、檀香、琥珀,790,果香調,日常,春夏,4.2,zara_applejuice.jpg
Elizabeth Arden,White Tea,義大利橘子、鼠尾草、海風,白茶提取物、巴拉圭馬黛茶,琥珀木、麝香,1200,花香調,上班,四季,4.4,elizabeth_whitetea.jpg
Elizabeth Arden,Sunflowers,檸檬、玫瑰木、橙花、甜瓜,茉莉、玫瑰、仙客來、桂花,雪松、琥珀、苔蘚、麝香,900,果香調,日常,春夏,4.2,elizabeth_sunflowers.jpg
Elizabeth Arden,White Tea Wild Rose,白茶、梨樹花、紅醋栗,保加利亞玫瑰、土耳其玫瑰,麝香、琥珀、零陵香豆,1300,花香調,約會,春夏,4.3,elizabeth_whiteteawildrose.jpg
Elizabeth Arden,Mediterranean,蜜桃、西西里島蜜柑、梅子,紫藤、星蘭花、馬達加斯加茉莉,麝香、琥珀、檀香,1000,海洋調,日常,春夏,4.2,elizabeth_mediterranean.jpg
Gucci,Bloom,茉莉,使君子,晚香玉,3900,花香調,約會,春夏,4.5,gucci_bloom.jpg
Gucci,Flora Gorgeous Gardenia,梨花、紅莓,白梔子花、茉莉,紅糖、廣藿香,4200,花香調,約會,春夏,4.6,gucci_flora.jpg
Gucci,Guilty Pour Homme,粉紅胡椒、義大利檸檬,橙花、薰衣草,廣藿香、雪松,3900,木質調,上班,秋冬,4.5,gucci_guilty.jpg
